Date,Consumption (MWh)
2016-12-17 00:00:00,3006250833.0
2016-12-18 00:00:00,3043446051.0
2016-12-19 00:00:00,3323110698.0
2016-12-20 00:00:00,3296412094.0
2016-12-21 00:00:00,3092747038.0
2016-12-22 00:00:00,3098180825.0
2016-12-23 00:00:00,2840263261.0
2016-12-24 00:00:00,3096312579.0
2016-12-25 00:00:00,2694019120.0
2016-12-26 00:00:00,2864267780.0
2016-12-27 00:00:00,3248389770.0
2016-12-28 00:00:00,3420024529.0
2016-12-29 00:00:00,3363812203.0
2016-12-30 00:00:00,3310848026.0
2016-12-31 00:00:00,3172129523.0
2017-01-01 00:00:00,3334356681.0
2017-01-02 00:00:00,3538934704.0
2017-01-03 00:00:00,3594213296.0
2017-01-04 00:00:00,3587409335.0
2017-01-05 00:00:00,3913420932.0
2017-01-06 00:00:00,3693772164.0
2017-01-07 00:00:00,3199112569.0
2017-01-08 00:00:00,3131882609.0
2017-01-09 00:00:00,3233889371.0
2017-01-10 00:00:00,3225662988.0
2017-01-11 00:00:00,3286371966.0
2017-01-12 00:00:00,3636987483.0
2017-01-13 00:00:00,3740822168.0
2017-01-14 00:00:00,3476903068.0
2017-01-15 00:00:00,3400215143.0
2017-01-16 00:00:00,3453129951.0
2017-01-17 00:00:00,3570708270.0
2017-01-18 00:00:00,3619916686.0
2017-01-19 00:00:00,3655479468.0
2017-01-20 00:00:00,3646521768.0
2017-01-21 00:00:00,3641656069.0
2017-01-22 00:00:00,3735229300.0
2017-01-23 00:00:00,3846019804.0
2017-01-24 00:00:00,3595877070.0
2017-01-25 00:00:00,3565851616.0
2017-01-26 00:00:00,3999494057.0
2017-01-27 00:00:00,3831603839.0
2017-01-28 00:00:00,3345541783.0
2017-01-29 00:00:00,3395825445.0
2017-01-30 00:00:00,3361239046.0
2017-01-31 00:00:00,3426744902.0
2017-02-01 00:00:00,3251707832.0
2017-02-02 00:00:00,3237819222.0
2017-02-03 00:00:00,3257455206.0
2017-02-04 00:00:00,3411981201.0
2017-02-05 00:00:00,3500195463.0
2017-02-06 00:00:00,3440717559.0
2017-02-07 00:00:00,3276694634.0
2017-02-08 00:00:00,3523144862.0
2017-02-09 00:00:00,3844547832.0
2017-02-10 00:00:00,3875662981.0
2017-02-11 00:00:00,3546860192.0
2017-02-12 00:00:00,3396198678.0
2017-02-13 00:00:00,3271627911.0
2017-02-14 00:00:00,3380591022.0
2017-02-15 00:00:00,3031143105.0
2017-02-16 00:00:00,2889806340.0
2017-02-17 00:00:00,2900947249.0
2017-02-18 00:00:00,2799166818.0
2017-02-19 00:00:00,2744819730.0
2017-02-20 00:00:00,2728482255.0
2017-02-21 00:00:00,2689599232.0
2017-02-22 00:00:00,2719887343.0
2017-02-23 00:00:00,2894552514.0
2017-02-24 00:00:00,3000672301.0
2017-02-25 00:00:00,2725527708.0
2017-02-26 00:00:00,2624180026.0
2017-02-27 00:00:00,3202709237.0
2017-02-28 00:00:00,3348014892.0
2017-03-01 00:00:00,3231383062.0
2017-03-02 00:00:00,3108914842.0
2017-03-03 00:00:00,3123061457.0
2017-03-04 00:00:00,2836764200.0
2017-03-05 00:00:00,2933937118.0
2017-03-06 00:00:00,3063401519.0
2017-03-07 00:00:00,2913836873.0
2017-03-08 00:00:00,2632084494.0
2017-03-09 00:00:00,2599008881.0
2017-03-10 00:00:00,2664622766.0
2017-03-11 00:00:00,2589132153.0
2017-03-12 00:00:00,2617921330.0
2017-03-13 00:00:00,2627759164.0
2017-03-14 00:00:00,2302603614.0
2017-03-15 00:00:00,2380108290.0
2017-03-16 00:00:00,2554047525.0
2017-03-17 00:00:00,2530184549.0
2017-03-18 00:00:00,2381082899.0
2017-03-19 00:00:00,2344848273.0
2017-03-20 00:00:00,2485176834.0
2017-03-21 00:00:00,2759138520.0
2017-03-22 00:00:00,2992100509.0
2017-03-23 00:00:00,2852385655.0
2017-03-24 00:00:00,2682066887.0
2017-03-25 00:00:00,2306479945.0
2017-03-26 00:00:00,2255120601.0
2017-03-27 00:00:00,2552677221.0
2017-03-28 00:00:00,2487260962.0
2017-03-29 00:00:00,2282595674.0
2017-03-30 00:00:00,2182084609.0
2017-03-31 00:00:00,2318730737.0
2017-04-01 00:00:00,2223589049.0
2017-04-02 00:00:00,2045989891.0
2017-04-03 00:00:00,2077289204.0
2017-04-04 00:00:00,2179783356.0
2017-04-05 00:00:00,2232293332.0
2017-04-06 00:00:00,2234024573.0
